BBL,TotalFeeAmount,NumberOfComplaints,ModeFeeTypeName,ModeFeeTypeCount,ModeLifeCycleName,ModeLifeCycleCount,MeanFeeIssueDate
1003990038,200,1,Complaint,1,Building,1,2018-03-12 00:00:00
1004010015,3000,15,VIOLATION,15,Building,15,2013-04-03 00:00:00
1004010048,4800,5,Complaint,4,Building,5,2016-11-27 14:24:00
1004020001,600,3,Complaint,3,Building,3,2016-10-05 16:00:00
1004020036,200,1,VIOLATION,1,Building,1,2018-12-13 00:00:00
1004020056,200,1,Complaint,1,Building,1,2017-08-17 00:00:00
1004040017,400,2,Complaint,1,Building,2,2015-12-26 12:00:00
1004040025,400,2,Complaint,1,Building,2,2016-12-31 00:00:00
1004040045,800,4,Complaint,4,Building,4,2018-01-31 18:00:00
1004050015,200,1,Complaint,1,Building,1,2019-01-28 00:00:00
1004070025,600,3,Complaint,3,Building,3,2017-10-21 08:00:00
1004070054,31400,19,Complaint,14,Building,19,2016-10-08 03:47:22
1004100004,200,1,Complaint,1,Building,1,2018-07-06 00:00:00
1004110027,200,1,VIOLATION,1,Building,1,2013-01-04 00:00:00
1004110061,400,2,Complaint,2,Building,2,2018-05-21 12:00:00
1004110072,6800,34,Complaint,22,Building,34,2017-09-15 16:14:07
1004120073,200,1,Complaint,1,Building,1,2019-02-27 00:00:00
1004130001,17000,7,Route for Inspection,5,Building,7,2017-11-30 13:42:51
1004150033,27400,19,Route for Inspection,15,Building,19,2017-09-12 21:28:25
1004150062,800,4,VIOLATION,3,Building,4,2016-09-11 00:00:00
1004160068,1400,7,Complaint,7,Building,7,2018-06-12 17:08:34
1004160069,800,4,VIOLATION,4,Building,4,2019-01-18 18:00:00
1004180034,400,2,Complaint,1,Building,2,2018-10-19 12:00:00
1004180040,1400,7,VIOLATION,7,Building,7,2019-01-11 17:08:34
1004190046,600,3,VIOLATION,3,Building,3,2019-02-03 00:00:00
1004190066,800,4,Complaint,4,Building,4,2016-12-08 12:00:00
1004200070,800,4,VIOLATION,4,Building,4,2017-04-30 12:00:00
1004210049,400,2,Complaint,2,Building,2,2018-09-03 12:00:00
1004250036,600,3,Complaint,3,Building,3,2016-10-11 16:00:00
1004250037,200,1,VIOLATION,1,Building,1,2015-01-29 00:00:00
1004260020,400,2,Complaint,2,Building,2,2019-01-30 00:00:00
1004290009,400,2,Complaint,2,Building,2,2016-08-01 00:00:00
1004290045,400,2,Complaint,2,Building,2,2017-05-25 12:00:00
1004340001,2200,11,Complaint,6,Building,11,2017-03-15 02:10:54
1004350001,200,1,Complaint,1,Building,1,2018-08-06 00:00:00
1004360034,600,3,Complaint,3,Building,3,2016-09-25 00:00:00
1004370008,2400,12,VIOLATION,11,Building,12,2018-11-30 02:00:00
1004370018,200,1,Complaint,1,Building,1,2018-02-18 00:00:00
1004370027,600,3,VIOLATION,3,Building,3,2018-11-24 08:00:00
1004390006,200,1,Complaint,1,Building,1,2017-09-28 00:00:00
1004400014,200,1,Complaint,1,Building,1,2019-01-03 00:00:00
1004400027,400,2,Complaint,2,Building,2,2017-01-03 12:00:00
1004400030,2000,10,VIOLATION,10,Building,10,2015-05-24 19:12:00
1004410003,200,1,Complaint,1,Building,1,2018-11-29 00:00:00
1004410032,600,3,Complaint,3,Building,3,2016-12-15 00:00:00
1004440014,200,1,Complaint,1,Building,1,2016-04-29 00:00:00
1004450017,800,4,Complaint,4,Building,4,2017-03-13 18:00:00
1004450022,400,2,VIOLATION,2,Building,2,2013-05-24 00:00:00
1004450025,400,2,Complaint,2,Building,2,2016-02-19 00:00:00
1004450038,400,2,Complaint,2,Building,2,2018-02-18 00:00:00
1004460033,1000,5,VIOLATION,5,Building,5,2019-01-01 04:48:00
1004480015,200,1,Complaint,1,Building,1,2019-01-04 00:00:00
1004490006,1000,5,VIOLATION,5,Building,5,2015-04-19 14:24:00
1004490018,400,2,Complaint,1,Building,2,2017-07-10 00:00:00
1004510019,600,3,Complaint,3,Building,3,2017-11-07 16:00:00
1004540038,600,3,VIOLATION,2,Building,3,2019-01-26 08:00:00
1004540046,200,1,VIOLATION,1,Building,1,2015-02-10 00:00:00
1004540059,400,2,Complaint,2,Building,2,2017-03-09 12:00:00
1004570128,600,3,Complaint,3,Building,3,2017-07-05 08:00:00
1004600019,200,1,Complaint,1,Building,1,2018-02-01 00:00:00
1004600039,200,1,Complaint,1,Building,1,2018-07-23 00:00:00
1004610009,600,3,VIOLATION,3,Building,3,2015-06-14 00:00:00
1004610047,200,1,VIOLATION,1,Building,1,2013-10-21 00:00:00
1004657501,600,3,Complaint,3,Building,3,2018-10-19 00:00:00
1004660056,600,3,Complaint,3,Building,3,2017-09-21 00:00:00
1004700005,400,2,Complaint,2,Building,2,2017-02-13 12:00:00
1004700024,400,2,Complaint,2,Building,2,2017-02-13 00:00:00
1004710041,400,2,Complaint,1,Building,2,2017-08-03 12:00:00
1004710043,200,1,Complaint,1,Building,1,2018-09-17 00:00:00
1004780012,7700,2,PROJECT BLDG,1,Building,2,2016-08-13 12:00:00
1004790003,600,3,VIOLATION,3,Building,3,2017-06-10 16:00:00
1004790033,400,2,VIOLATION,2,Building,2,2018-12-25 00:00:00
1004790190,400,2,Complaint,2,Building,2,2017-11-05 12:00:00
1004800001,400,2,VIOLATION,2,Building,2,2013-10-06 12:00:00
1004800033,1200,6,VIOLATION,5,Building,6,2015-10-25 08:00:00
1004880008,400,2,Complaint,1,Building,2,2016-06-28 12:00:00
1004880010,1000,5,Complaint,5,Building,5,2016-11-18 00:00:00
1004890036,2200,11,VIOLATION,9,Building,11,2016-10-05 17:27:16
1004930012,3000,15,Complaint,13,Building,15,2016-06-23 16:00:00
1004940024,200,1,Complaint,1,Building,1,2016-02-11 00:00:00
1004950028,400,2,VIOLATION,2,Building,2,2018-12-30 12:00:00
1004950041,200,1,VIOLATION,1,Building,1,2018-08-24 00:00:00
1005020023,200,1,Complaint,1,Building,1,2018-12-21 00:00:00
1005030015,800,4,VIOLATION,4,Building,4,2016-10-10 00:00:00
1005040021,200,1,VIOLATION,1,Building,1,2017-12-12 00:00:00
1005060027,1000,5,Complaint,5,Building,5,2017-12-09 14:24:00
1005070004,200,1,Complaint,1,Building,1,2017-12-06 00:00:00
1005080051,200,1,Complaint,1,Building,1,2017-11-06 00:00:00
1005090016,400,2,VIOLATION,2,Building,2,2018-10-21 00:00:00
1005090023,800,4,Complaint,4,Building,4,2017-07-07 18:00:00
1005160033,200,1,VIOLATION,1,Building,1,2019-01-15 00:00:00
1005180043,600,3,Complaint,3,Building,3,2016-07-01 08:00:00
1005260026,200,1,Complaint,1,Building,1,2018-09-16 00:00:00
1005270050,600,3,Complaint,3,Building,3,2016-11-10 08:00:00
1005330001,800,4,Complaint,4,Building,4,2017-02-08 00:00:00
1005400007,200,1,Complaint,1,Building,1,2019-01-28 00:00:00
1005560026,800,4,Complaint,3,Building,4,2016-04-27 18:00:00
1005690020,200,1,Complaint,1,Building,1,2016-09-29 00:00:00
1005720026,400,2,Complaint,2,Building,2,2017-09-18 00:00:00
1005720049,600,3,Complaint,3,Building,3,2018-04-09 00:00:00
1005720065,200,1,Complaint,1,Building,1,2016-10-21 00:00:00
1005730008,200,1,Complaint,1,Building,1,2016-07-14 00:00:00
1005830023,400,2,Complaint,2,Building,2,2016-11-28 00:00:00
1005830024,400,2,Complaint,2,Building,2,2016-12-31 00:00:00
1005830042,400,2,Complaint,2,Building,2,2018-12-26 12:00:00
1005860040,800,4,Complaint,4,Building,4,2017-01-19 06:00:00
1005860056,200,1,VIOLATION,1,Building,1,2018-01-18 00:00:00
1005880077,1200,6,Complaint,6,Building,6,2016-12-10 20:00:00
1006060041,1000,5,VIOLATION,3,Building,5,2015-10-04 19:12:00
1006087501,800,4,Complaint,4,Building,4,2017-06-13 06:00:00
1006190033,200,1,Complaint,1,Building,1,2016-06-30 00:00:00
1006190084,600,3,Complaint,3,Building,3,2018-09-17 00:00:00
1006260012,400,2,Complaint,2,Building,2,2016-12-06 00:00:00
1006260027,400,2,Complaint,2,Building,2,2016-12-23 12:00:00
1006260032,200,1,Complaint,1,Building,1,2016-09-06 00:00:00
1006300001,200,1,VIOLATION,1,Building,1,2013-02-05 00:00:00
1006340035,600,3,Complaint,3,Building,3,2016-10-05 08:00:00
1006340036,200,1,Complaint,1,Building,1,2016-07-11 00:00:00
1006930036,600,3,VIOLATION,3,Building,3,2019-02-03 00:00:00
1007170001,1200,6,VIOLATION,6,Building,6,2016-07-26 00:00:00
1007170002,800,4,Complaint,2,Building,4,2016-07-25 18:00:00
1007170043,200,1,VIOLATION,1,Building,1,2012-11-15 00:00:00
1007220045,400,2,VIOLATION,2,Building,2,2013-03-09 12:00:00
1007220050,1600,8,Complaint,5,Building,8,2017-02-08 09:00:00
1007330066,400,2,Complaint,2,Building,2,2017-11-22 12:00:00
1007360040,200,1,Complaint,1,Building,1,2018-06-25 00:00:00
1007370041,10400,14,VIOLATION,9,Building,14,2017-07-21 05:08:34
1007400051,1600,8,Complaint,7,Building,8,2017-07-24 06:00:00
1007400052,200,1,Complaint,1,Building,1,2019-02-07 00:00:00
1007400054,800,4,VIOLATION,4,Building,4,2017-12-08 00:00:00
1007420049,3600,18,Complaint,18,Building,18,2017-02-28 08:00:00
1007420060,200,1,Complaint,1,Building,1,2017-10-08 00:00:00
1007457502,800,4,Complaint,4,Building,4,2017-03-01 12:00:00
1007530056,600,3,Complaint,3,Building,3,2016-11-30 00:00:00
1007600004,600,3,VIOLATION,3,Building,3,2016-08-05 08:00:00
1007630005,600,3,Complaint,3,Building,3,2017-11-10 08:00:00
1007630031,200,1,Complaint,1,Building,1,2016-04-21 00:00:00
1007640030,1800,9,VIOLATION,6,Building,9,2017-02-24 16:00:00
1007640057,400,2,Complaint,2,Building,2,2016-11-22 12:00:00
1007660029,3000,15,VIOLATION,11,Building,15,2017-07-06 11:12:00
1007690004,400,2,Complaint,2,Building,2,2016-09-29 12:00:00
1007690034,200,1,Complaint,1,Building,1,2018-12-18 00:00:00
1007700003,1400,7,VIOLATION,7,Building,7,2016-08-06 17:08:34
1007700066,400,2,Complaint,2,Building,2,2016-08-18 00:00:00
1007710062,200,1,Complaint,1,Building,1,2019-01-05 00:00:00
1007720007,600,3,VIOLATION,3,Building,3,2017-01-02 16:00:00
1007720030,8600,5,PROJECT BLDG,2,Building,5,2018-05-31 00:00:00
1007720064,400,2,VIOLATION,2,Building,2,2013-08-18 12:00:00
1007730056,400,2,Complaint,2,Building,2,2017-04-05 00:00:00
1007740074,200,1,Complaint,1,Building,1,2016-06-06 00:00:00
1007740075,800,4,Complaint,2,Building,4,2014-12-19 06:00:00
1007740076,200,1,VIOLATION,1,Building,1,2015-10-30 00:00:00
1007780003,200,1,Complaint,1,Building,1,2017-04-26 00:00:00
1007780032,200,1,Complaint,1,Demolished,1,2016-03-11 00:00:00
1007790049,200,1,Complaint,1,Building,1,2016-10-21 00:00:00
1007800002,800,4,Complaint,4,Building,4,2018-01-23 12:00:00
1007900067,800,4,VIOLATION,4,Building,4,2013-11-16 06:00:00
1007920020,1000,5,Complaint,5,Building,5,2018-07-03 19:12:00
1008010059,1200,6,Complaint,6,Building,6,2018-12-02 20:00:00
1008020071,200,1,VIOLATION,1,Building,1,2019-02-27 00:00:00
1008037503,600,3,Complaint,3,Building,3,2016-03-16 00:00:00
1008330027,600,3,Complaint,3,Building,3,2018-05-22 08:00:00
1008390007,200,1,Complaint,1,Building,1,2018-03-22 00:00:00
1008497508,200,1,Complaint,1,Building,1,2017-01-30 00:00:00
1008500039,200,1,VIOLATION,1,Building,1,2013-02-25 00:00:00
1008600064,200,1,Complaint,1,Building,1,2018-11-07 00:00:00
1008610012,1400,7,VIOLATION,7,Building,7,2017-02-12 17:08:34
1008650024,200,1,Complaint,1,Building,1,2018-11-08 00:00:00
1008720035,400,2,Complaint,2,Building,2,2018-09-21 00:00:00
1008830031,1400,7,Complaint,6,Building,7,2018-06-04 20:34:17
1008830067,400,2,VIOLATION,2,Building,2,2017-07-25 00:00:00
1008840017,600,3,VIOLATION,3,Building,3,2013-12-12 16:00:00
1008840018,200,1,VIOLATION,1,Building,1,2013-12-23 00:00:00
1008850059,200,1,Complaint,1,Building,1,2018-06-17 00:00:00
1008850091,400,2,VIOLATION,2,Building,2,2015-01-02 00:00:00
1008860030,800,4,Complaint,4,Building,4,2018-06-06 00:00:00
1008880041,19600,10,Route for Inspection,6,Building,10,2017-12-03 09:36:00
1008910007,200,1,VIOLATION,1,Building,1,2019-02-22 00:00:00
1008910039,400,2,Complaint,2,Building,2,2016-12-31 12:00:00
1008910046,600,3,VIOLATION,2,Building,3,2018-07-27 08:00:00
1008910071,8200,8,VIOLATION,6,Building,8,2014-08-10 15:00:00
1008920043,3000,15,VIOLATION,15,Building,15,2018-01-07 01:36:00
1008960012,200,1,Complaint,1,Building,1,2016-12-24 00:00:00
1009000027,200,1,Complaint,1,Building,1,2017-04-03 00:00:00
1009040012,400,2,Complaint,2,Building,2,2019-02-24 00:00:00
1009040039,200,1,Complaint,1,Building,1,2018-09-12 00:00:00
1009070002,200,1,VIOLATION,1,Building,1,2018-09-04 00:00:00
1009110026,200,1,Complaint,1,Building,1,2016-08-10 00:00:00
1009120009,200,1,Complaint,1,Building,1,2018-09-15 00:00:00
1009160030,400,2,VIOLATION,2,Building,2,2014-11-03 12:00:00
1009190027,800,4,Complaint,4,Building,4,2016-10-22 18:00:00
1009230043,1200,6,Complaint,6,Building,6,2016-10-18 16:00:00
1009240004,10000,7,Route for Inspection,5,Building,7,2017-03-22 17:08:34
1009250042,200,1,Complaint,1,Building,1,2017-07-20 00:00:00
1009270032,200,1,Complaint,1,Building,1,2016-03-28 00:00:00
1009390035,200,1,VIOLATION,1,Building,1,2016-11-29 00:00:00
1009390036,600,3,VIOLATION,3,Building,3,2016-12-10 08:00:00
1009390037,800,4,VIOLATION,4,Building,4,2016-12-15 18:00:00
1009390050,600,3,Complaint,3,Building,3,2019-01-01 16:00:00
1009437501,200,1,Complaint,1,Building,1,2017-02-24 00:00:00
1009620097,200,1,VIOLATION,1,Building,1,2016-12-22 00:00:00
1009910060,200,1,Complaint,1,Building,1,2016-09-13 00:00:00
1009980055,3000,15,VIOLATION,9,Building,15,2018-06-26 14:24:00
1010010059,200,1,Complaint,1,Building,1,2017-06-20 00:00:00
1010070051,1000,5,Complaint,5,Building,5,2017-12-03 19:12:00
1010080008,1000,5,Complaint,5,Building,5,2017-05-08 19:12:00
1010260009,200,1,Complaint,1,Building,1,2016-10-15 00:00:00
1010260035,2200,11,VIOLATION,11,Building,11,2015-11-04 13:05:27
1010320101,600,3,Complaint,3,Building,3,2017-12-24 00:00:00
1010340027,200,1,Complaint,1,Building,1,2019-02-04 00:00:00
1010340060,800,4,Complaint,4,Building,4,2016-06-16 18:00:00
1010360002,1800,9,Complaint,9,Building,9,2016-07-05 10:40:00
1010360004,200,1,Complaint,1,Building,1,2019-02-04 00:00:00
1010360005,2000,10,Complaint,10,Building,10,2017-07-25 09:36:00
1010360054,200,1,Complaint,1,Building,1,2017-07-03 00:00:00
1010360149,400,2,VIOLATION,2,Building,2,2014-01-30 12:00:00
1010370052,200,1,Complaint,1,Building,1,2018-11-05 00:00:00
1010370102,200,1,VIOLATION,1,Building,1,2015-02-09 00:00:00
1010377501,200,1,Complaint,1,Building,1,2018-11-30 00:00:00
1010380061,200,1,Complaint,1,Building,1,2016-02-26 00:00:00
1010390048,1000,5,Complaint,5,Building,5,2016-06-23 04:48:00
1010410002,400,2,VIOLATION,2,Building,2,2014-09-12 12:00:00
1010420050,200,1,VIOLATION,1,Building,1,2018-05-23 00:00:00
1010450001,600,3,Complaint,3,Building,3,2018-03-30 16:00:00
1010450002,400,2,Complaint,2,Building,2,2018-09-08 12:00:00
1010450025,1800,9,Complaint,9,Building,9,2017-06-17 18:40:00
1010450029,600,3,Complaint,3,Building,3,2018-11-06 16:00:00
1010450042,400,2,Complaint,2,Building,2,2017-02-03 12:00:00
1010460061,8000,2,PROJECT BLDG,2,Building,2,2011-07-05 12:00:00
1010477501,1400,7,Complaint,7,Building,7,2018-12-09 00:00:00
1010500029,3000,15,VIOLATION,15,Building,15,2015-06-21 04:48:00
1010530029,400,2,Complaint,2,Building,2,2017-09-21 12:00:00
1010540001,200,1,VIOLATION,1,Building,1,2015-03-25 00:00:00
1010540022,1400,7,VIOLATION,7,Building,7,2014-12-02 13:42:51
1010550041,15000,2,PROJECT BLDG,2,Building,2,2016-09-27 12:00:00
1010550056,200,1,Complaint,1,Building,1,2016-05-20 00:00:00
1010560035,200,1,VIOLATION,1,Building,1,2016-02-17 00:00:00
1010560046,200,1,Complaint,1,Building,1,2016-09-06 00:00:00
1010580048,200,1,Complaint,1,Building,1,2016-06-23 00:00:00
1010580049,10600,5,Complaint,3,Building,5,2016-12-31 09:36:00
1010580061,3000,15,VIOLATION,12,Building,15,2015-11-22 11:12:00
1010600029,2400,12,VIOLATION,12,Building,12,2016-04-14 16:00:00
1010600030,3600,18,VIOLATION,16,Building,18,2016-05-02 14:40:00
1010600044,2200,11,VIOLATION,7,Building,11,2016-08-06 17:27:16
1010610032,400,2,VIOLATION,2,Building,2,2015-12-28 00:00:00
1010620025,400,2,VIOLATION,2,Building,2,2019-02-25 00:00:00
1010650036,400,2,VIOLATION,2,Building,2,2015-12-11 00:00:00
1010670004,200,1,Complaint,1,Building,1,2018-10-13 00:00:00
1010670032,200,1,VIOLATION,1,Building,1,2017-04-10 00:00:00
1010750043,400,2,Complaint,2,Building,2,2018-03-09 00:00:00
1010750045,200,1,Complaint,1,Building,1,2016-06-20 00:00:00
1010760028,800,4,Complaint,3,Building,4,2017-03-20 00:00:00
1010770015,400,2,Complaint,2,Building,2,2018-09-28 12:00:00
1010770057,400,2,Complaint,2,Building,2,2016-10-11 12:00:00
1010780042,200,1,Complaint,1,Building,1,2017-08-14 00:00:00
1010780048,1600,8,Complaint,8,Building,8,2018-07-31 00:00:00
1010780055,600,3,Complaint,3,Building,3,2018-07-25 16:00:00
1010800028,800,4,VIOLATION,4,Building,4,2017-08-17 06:00:00
1010817503,200,1,Complaint,1,Building,1,2018-04-02 00:00:00
1011170039,200,1,Complaint,1,Building,1,2017-08-25 00:00:00
1011210017,200,1,Complaint,1,Building,1,2016-06-08 00:00:00
1011210052,200,1,Complaint,1,Building,1,2018-04-01 00:00:00
1011220011,200,1,Complaint,1,Building,1,2018-10-07 00:00:00
1011230060,600,3,Complaint,3,Building,3,2018-09-04 08:00:00
1011240012,200,1,Complaint,1,Building,1,2016-01-06 00:00:00
1011267502,200,1,VIOLATION,1,Building,1,2014-11-13 00:00:00
1011270039,200,1,VIOLATION,1,Building,1,2019-02-08 00:00:00
1011280044,200,1,VIOLATION,1,Building,1,2015-06-15 00:00:00
1011400030,600,3,Complaint,3,Building,3,2017-05-31 16:00:00
1011410015,200,1,Complaint,1,Building,1,2018-10-07 00:00:00
1011460022,200,1,VIOLATION,1,Building,1,2014-05-15 00:00:00
1011460061,1200,6,Complaint,6,Building,6,2018-01-28 20:00:00
1011470053,200,1,Complaint,1,Building,1,2018-12-19 00:00:00
1011470150,400,2,Complaint,2,Building,2,2017-11-21 12:00:00
1011490030,400,2,Complaint,2,Building,2,2018-09-29 00:00:00
1011490033,800,4,Complaint,4,Building,4,2016-11-23 06:00:00
1011620051,400,2,Complaint,2,Building,2,2017-03-24 12:00:00
1011630056,400,2,Complaint,2,Building,2,2018-04-08 00:00:00
1011657503,1200,6,Complaint,6,Building,6,2018-10-18 16:00:00
1011717506,1200,6,Complaint,6,Building,6,2017-09-10 12:00:00
1011820049,200,1,Complaint,1,Building,1,2018-08-16 00:00:00
1011830053,4600,23,Complaint,19,Building,23,2015-12-30 13:33:54
1011850001,1600,8,Complaint,8,Building,8,2017-11-15 15:00:00
1011950041,200,1,VIOLATION,1,Building,1,2015-09-23 00:00:00
1011950059,200,1,Complaint,1,Building,1,2017-10-31 00:00:00
1011960114,200,1,VIOLATION,1,Building,1,2018-12-24 00:00:00
1011980015,600,3,VIOLATION,3,Building,3,2015-10-04 00:00:00
1011980040,200,1,VIOLATION,1,Building,1,2016-10-07 00:00:00
1011980041,200,1,VIOLATION,1,Building,1,2016-10-13 00:00:00
1012000019,600,3,Complaint,3,Building,3,2017-10-11 00:00:00
1012020050,200,1,VIOLATION,1,Building,1,2013-12-19 00:00:00
1012020141,9200,8,Route for Inspection,6,Building,8,2017-04-23 12:00:00
1012030017,200,1,Complaint,1,Building,1,2017-10-27 00:00:00
1012040153,600,3,Complaint,3,Building,3,2016-05-04 16:00:00
1012080022,2600,13,Complaint,13,Building,13,2017-01-24 20:18:27
1012080029,200,1,VIOLATION,1,Building,1,2013-07-05 00:00:00
1012090001,200,1,Complaint,1,Building,1,2017-08-18 00:00:00
1012090042,800,4,Complaint,4,Building,4,2018-01-28 12:00:00
1012097502,200,1,Complaint,1,Building,1,2017-11-17 00:00:00
1012120047,400,2,Complaint,2,Building,2,2017-11-21 00:00:00
1012130061,200,1,Complaint,1,Building,1,2016-05-19 00:00:00
1012140059,600,3,Complaint,3,Building,3,2018-09-29 00:00:00
1012170050,600,3,Complaint,3,Building,3,2017-01-21 16:00:00
1012170057,200,1,VIOLATION,1,Building,1,2014-10-21 00:00:00
1012190057,200,1,Complaint,1,Building,1,2018-02-13 00:00:00
1012200029,200,1,Complaint,1,Building,1,2017-04-17 00:00:00
1012207501,200,1,Complaint,1,Building,1,2017-09-14 00:00:00
1012237504,600,3,Complaint,3,Building,3,2017-03-06 00:00:00
1012240023,400,2,Complaint,2,Building,2,2016-11-24 00:00:00
1012267502,400,2,Complaint,2,Building,2,2017-02-15 12:00:00
1012280036,1000,5,Complaint,5,Building,5,2016-06-10 00:00:00
1012280039,400,2,Complaint,2,Building,2,2016-04-17 12:00:00
1012300030,600,3,Complaint,3,Building,3,2016-10-25 08:00:00
1012310033,8600,5,PROJECT BLDG,2,Building,5,2016-08-29 19:12:00
1012330011,400,2,VIOLATION,2,Building,2,2018-03-08 12:00:00
1012350031,200,1,Complaint,1,Building,1,2018-11-26 00:00:00
1012350035,7000,1,PROJECT BLDG,1,Building,1,2018-06-27 00:00:00
1012360029,200,1,Complaint,1,Building,1,2018-02-02 00:00:00
1012360034,100,1,Route for Inspection,1,Building,1,2017-05-31 00:00:00
1012360035,200,1,Complaint,1,Building,1,2017-11-28 00:00:00
1012367502,200,1,Complaint,1,Building,1,2017-08-17 00:00:00
1012380052,2200,11,Complaint,11,Building,11,2017-09-10 17:27:16
1012380104,200,1,VIOLATION,1,Building,1,2018-02-16 00:00:00
1012390059,200,1,VIOLATION,1,Building,1,2018-06-29 00:00:00
1012397501,400,2,Complaint,2,Building,2,2018-05-16 00:00:00
